amc,Sigla,1991,2000,2010,Amazon
4061,PI,7637,7658,8221,0
4062,PI,13506,13288,14095,0
4063,PI,11009,10347,10678,0
4064,PI,20537,21461,21865,0
4065,PI,47951,50623,55446,0
4066,PI,29451,32858,37085,0
4067,PI,41328,46650,50662,0
4068,PI,43817,48896,50687,0
4069,PI,20600,24025,25176,0
4070,PI,5681,5628,5281,0
4071,PI,4421,4279,4456,0
4072,PI,27679,29849,32289,0
4073,PI,1254,1370,1253,0
4074,PI,6276,6764,7391,0
4075,PI,9446,10230,10345,0
4076,PI,7831,7805,7321,0
4077,PI,599272,715360,822298,0
4078,PI,6077,7214,8206,0
4079,PI,7201,6760,6498,0
4080,PI,11360,11000,10735,0
4081,PI,4445,5199,4993,0
4082,PI,11595,12154,13745,0
4083,PI,12666,13666,14517,0
4084,PI,9789,10104,9936,0
4085,PI,10588,11306,11733,0
4086,PI,16126,16505,17671,0
4087,PI,2710,3117,3085,0
4088,PI,6882,7781,8400,0
4089,PI,5616,6031,6096,0
4090,PI,4458,4780,5513,0
4091,PI,5073,5154,6007,0
4092,PI,5200,6125,6813,0
4093,PI,5537,5427,5179,0
4094,PI,6675,6356,6298,0
4095,PI,6839,6728,7006,0
4096,PI,7288,6675,6157,0
4097,PI,6525,6706,6591,0
4098,PI,11520,12510,13639,0
4099,PI,5266,4675,4522,0
4100,CE,7889,8385,10496,0
4101,CE,10191,12927,15338,0
4102,CE,45505,48968,57551,0
4103,CE,49259,47137,51160,0
4104,CE,13219,14452,16203,0
4105,CE,8606,9548,10771,0
4106,CE,4806,5687,6856,0
4107,CE,13610,15394,16359,0
4108,CE,25161,32333,39232,0
4109,CE,5086,6509,6984,0
4110,CE,9516,12540,13925,0
4111,CE,46305,60469,72628,0
4112,CE,60687,73253,83976,0
4113,CE,22508,24064,25391,0
4114,CE,37832,39355,41456,0
4115,CE,17409,19606,20685,0
4116,CE,10578,12359,11529,0
4117,CE,7387,7538,7650,0
4118,CE,19610,20882,22445,0
4119,CE,24491,25207,24566,0
4120,CE,5412,5724,6026,0
4121,CE,14364,16173,17315,0
4122,CE,38430,47031,55323,0
4123,CE,14759,17024,19573,0
4124,CE,19375,20007,21514,0
4125,CE,12929,13921,14476,0
4126,CE,27147,29861,33321,0
4127,CE,36801,42343,49311,0
4128,CE,25966,28358,30878,0
4129,CE,47918,50306,52498,0
4130,CE,33721,38484,45193,0
4131,CE,51035,55448,60158,0
4132,CE,23282,25566,26506,0
4133,CE,61827,69601,74473,0
4134,CE,15559,15830,17062,0
4135,CE,12432,15604,20020,0
4136,CE,17747,18617,18347,0
4137,CE,21318,25733,26393,0
4138,CE,17571,18444,18567,0
4139,CE,13625,15230,16746,0
4140,CE,46507,57129,66142,0
4141,CE,11934,15547,18745,0
4142,CE,49343,51661,52715,0
4143,CE,165099,250479,325441,0
4144,CE,22930,24062,24527,0
4145,CE,10560,12163,12615,0
4146,CE,72224,81655,93457,0
4147,CE,15492,18707,18915,0
4148,CE,17565,19981,21954,0
4149,CE,66652,70898,72812,0
4150,CE,90519,104646,121428,0
4151,CE,14884,16064,17069,0
4152,CE,20098,31868,39481,0
4153,CE,8441,8385,9095,0
4154,CE,6437,6302,6840,0
4155,CE,20410,31500,46033,0
4156,CE,17625,20315,19007,0
4157,CE,15245,17488,21786,0
4158,CE,1768637,2141402,2452185,0
4159,CE,9704,11832,12991,0
4160,CE,5565,4866,6218,0
4161,CE,14365,14813,15049,0
4162,CE,41501,48484,52645,0
4163,CE,4743,5295,4629,0
4164,CE,8079,8741,10228,0
4165,CE,17562,19884,24091,0
4166,CE,30312,35037,37775,0
4167,CE,5293,5714,4164,0
4168,CE,17900,17687,19325,0
4169,CE,18283,33790,55187,0
4170,CE,11253,12561,12922,0
4171,CE,20031,22157,23808,0
4172,CE,8598,9435,11335,0
4173,CE,13661,16052,18392,0
4174,CE,60466,62521,65456,0
4175,CE,75649,85615,96495,0
4176,CE,24031,25262,25573,0
